"GEOID","multinom","rf","growth_prob","consensus"
"170310101002","Growth","Growth",1,"3"
"170310101003","Growth","Growth",1,"3"
"170310102011","Growth","Growth",1,"3"
"170310102012","Growth","Growth",1,"3"
"170310102013","Decline","Decline",1.17985311410095e-285,"1"
"170310102014","Growth","Growth",1,"3"
"170310102021","Growth","Growth",1,"3"
"170310102022","Growth","Growth",1,"3"
"170310103001","Stable","Stable",1.45662443713627e-214,"2"
"170310103002","Growth","Growth",1,"3"
"170310103003","Growth","Growth",1,"3"
"170310103004","Growth","Growth",1,"3"
"170310104001","Growth","Growth",1,"3"
"170310104002","Stable","Stable",6.03074565667598e-166,"2"
"170310105012","Growth","Growth",1,"3"
"170310105013","Growth","Growth",1,"3"
"170310105021","Growth","Growth",1,"3"
"170310105022","Growth","Growth",1,"3"
"170310105031","Growth","Growth",1,"3"
"170310105032","Growth","Growth",1,"3"
"170310106001","Growth","Growth",1,"3"
"170310106002","Growth","Growth",1,"3"
"170310106003","Growth","Growth",1,"3"
"170310106004","Growth","Growth",1,"3"
"170310107012","Growth","Growth",1,"3"
"170310107021","Growth","Growth",1,"3"
"170310107022","Growth","Growth",1,"3"
"170310107023","Growth","Growth",1,"3"
"170310107024","Growth","Growth",1,"3"
"170310201001","Growth","Growth",1,"3"
"170310201002","Growth","Growth",1,"3"
"170310202001","Decline","Decline",0,"1"
"170310202002","Growth","Growth",1,"3"
"170310202003","Growth","Growth",1,"3"
"170310202004","Growth","Growth",1,"3"
"170310203011","Growth","Growth",1,"3"
"170310203012","Growth","Growth",1,"3"
"170310203013","Growth","Growth",1,"3"
"170310203021","Growth","Growth",1,"3"
"170310203022","Stable","Stable",0,"2"
"170310203023","Growth","Growth",1,"3"
"170310204001","Growth","Growth",1,"3"
"170310204002","Growth","Growth",1,"3"
"170310204003","Growth","Growth",1,"3"
"170310205001","Growth","Growth",1,"3"
"170310205002","Growth","Growth",1,"3"
"170310206011","Growth","Growth",1,"3"
"170310206012","Growth","Growth",1,"3"
"170310206013","Decline","Decline",0,"1"
"170310206021","Growth","Growth",1,"3"
"170310206023","Growth","Growth",1,"3"
"170310207011","Growth","Growth",1,"3"
"170310207012","Growth","Growth",1,"3"
